l0_target,theta0_target,theta1,theta2,fk_l0,fk_theta0,reachable,fk_l0_error,fk_theta0_error,current_jacobian_error,pre_fb627e5_jacobian_error,current_force_extension,pre_force_extension,old_pd_l0_restoring,old_pd_theta_restoring,feedforward_tau_norm
0.1219258562330587,-0.5,-0.5859359434991409,2.6237149672229094,0.12192585623305874,-0.5000000000000002,1.0,4.163336342344337e-17,2.220446049250313e-16,2.1303603325861786e-10,0.30503223177635896,0.043763895560433835,0.043763895560433835,-1.6398343518238455e-15,6.148062075846112,8.367928829566736
0.1219258562330587,-0.4875,-0.574236344173541,2.624095016612194,0.12192585623305874,-0.4875000000000007,1.0,4.163336342344337e-17,7.216449660063518e-16,2.221465233986919e-10,0.3078661830174365,0.04373916103253729,0.04373916103253729,-1.6389075483937237e-15,6.149113713574671,8.365563797620556
0.1219258562330587,-0.475,-0.5625322700913629,2.624477849540785,0.1219258562330586,-0.47499999999999987,1.0,9.71445146547012e-17,1.1102230246251565e-16,2.289548550749032e-10,0.31068409499425553,0.04371484601257464,0.04371484601257464,3.821991749186907e-15,6.150072321218336,8.363238225718517
0.1219258562330587,-0.4625,-0.5508235997842972,2.6248634118114915,0.12192585623305874,-0.4624999999999999,1.0,4.163336342344337e-17,1.1102230246251565e-16,2.475095683962536e-10,0.31348553906726706,0.043690954608098936,0.043690954608098936,-1.637101252364536e-15,6.150937718363516,8.36095253981018
0.1219258562330587,-0.45,-0.5391102119072129,2.625251648735785,0.1219258562330587,-0.4500000000000004,1.0,0.0,3.885780586188048e-16,9.080447505027678e-11,0.3162700881229539,0.04366749089222022,0.04366749089222022,0.0,6.151709733878423,8.358707162447573
0.1219258562330587,-0.4375,-0.5273919852532298,2.6256425051389103,0.12192585623305864,-0.43750000000000044,1.0,5.551115123125783e-17,4.440892098500626e-16,1.116595704786505e-10,0.3190373140007754,0.04364445890300959,0.04364445890300959,2.180478742714244e-15,6.152388205922181,8.356502512703226
0.1219258562330587,-0.425,-0.5156687987690671,2.6260359253650964,0.12192585623305867,-0.42500000000000027,1.0,2.7755575615628914e-17,2.7755575615628914e-16,2.0165424885476568e-10,0.32178679058297854,0.043621862642890266,0.043621862642890266,1.0896749163713869e-15,6.152972981953184,8.354339006086862
0.1219258562330587,-0.4125,-0.5039405315706578,2.6264318532828623,0.12192585623305868,-0.41249999999999987,1.0,1.3877787807814457e-17,1.1102230246251565e-16,1.8615686769862805e-10,0.32451809233316586,0.04359970607801549,0.04359970607801549,5.445607224903995e-16,6.153463918741265,8.352217054460736
0.1219258562330587,-0.4,-0.4922070629590327,2.626830232290417,0.12192585623305864,-0.3999999999999999,1.0,5.551115123125783e-17,1.1102230246251565e-16,1.9756041247376288e-10,0.32723079375148156,0.04357799313763326,0.04357799313763326,2.1771581106760885e-15,6.153640578722947,8.35013706595366
0.1219258562330587,-0.3875,-0.4804682724364786,2.627231005321159,0.1219258562330586,-0.38749999999999996,1.0,9.71445146547012e-17,5.551115123125783e-17,1.979563180043442e-10,0.3299244711897331,0.0435567277134375,0.0435567277134375,3.808167456301973e-15,6.153187304896608,8.348099444873665
